,number_of_elements,range_atomic_mass,wtd_range_atomic_mass,wtd_mean_fie,wtd_entropy_fie,range_fie,wtd_range_fie,wtd_range_atomic_radius,mean_Density,mean_FusionHeat,mean_ThermalConductivity,wtd_mean_ThermalConductivity,gmean_ThermalConductivity,range_ThermalConductivity,wtd_range_Valence,critical_temp
13,5.0,122.90607,36.161939,1010.61285714286,0.807078214938731,810.6,743.164285714286,50.5714285714286,5821.4858,7.7844,172.205316,61.3723314285714,16.0642278788044,429.97342,1.12857142857143,27.0
14,5.0,122.90607,35.741099,1010.30214285714,0.831385674680195,810.6,743.164285714286,49.3142857142857,5821.4858,7.7844,172.205316,62.0151885714286,16.0642278788044,429.97342,1.11428571428571,26.0
15,5.0,122.90607,35.741099,1009.78428571429,0.844440229116872,810.6,743.164285714286,49.3142857142857,5821.4858,7.7844,172.205316,63.0866171428571,16.0642278788044,429.97342,1.11428571428571,27.0
16,5.0,121.3276,14.3039615384615,1006.96538461538,0.943576679628931,810.6,684.384615384615,26.0,3698.6858,8.2524,127.005316,103.398927692308,14.5436454295599,399.97342,1.0,82.0
17,4.0,122.90607,33.7680099285714,1010.54428571429,0.783206660361291,810.6,739.575,46.1142857142857,4654.35725,6.9055,107.756645,60.9794742857143,7.06248773046785,399.97342,1.1,30.0
18,4.0,122.90607,34.8331599285714,1011.54071428571,0.786865234305601,772.0,738.578571428571,46.8428571428571,4434.35725,6.9055,112.006645,61.34376,8.33981834610162,399.97342,1.1,39.0
19,4.0,122.90607,38.0692380714286,1011.42785714286,0.763668388312443,772.0,746.421428571428,52.7571428571429,4434.35725,6.9055,112.006645,61.0294742857143,8.33981834610162,399.97342,1.12857142857143,14.8
20,4.0,122.90607,36.451199,1011.48428571429,0.776332032161783,772.0,742.5,49.8,4434.35725,6.9055,112.006645,61.1866171428571,8.33981834610162,399.97342,1.11428571428571,30.0
21,4.0,122.90607,32.4061013214286,1011.62535714286,0.800110719564941,772.0,732.696428571428,42.4071428571429,4434.35725,6.9055,112.006645,61.5794742857143,8.33981834610162,399.97342,1.07857142857143,35.5
22,4.0,122.90607,31.5970817857143,1011.65357142857,0.804001738739379,772.0,730.735714285714,40.9285714285714,4434.35725,6.9055,112.006645,61.6580457142857,8.33981834610162,399.97342,1.07142857142857,23.3
23,4.0,122.90607,29.9790427142857,1011.71,0.811136187493863,772.0,726.814285714286,37.9714285714286,4434.35725,6.9055,112.006645,61.8151885714286,8.33981834610162,399.97342,1.05714285714286,18.2
24,4.0,122.90607,28.3610036428571,1011.76642857143,0.817508477887223,772.0,722.892857142857,35.0142857142857,4434.35725,6.9055,112.006645,61.9723314285714,8.33981834610162,399.97342,1.04285714285714,18.3
25,4.0,122.90607,26.7429645714286,1011.82285714286,0.823208733235304,772.0,718.971428571428,32.0571428571429,4434.35725,6.9055,112.006645,62.1294742857143,8.33981834610162,399.97342,1.02857142857143,18.3
26,4.0,122.90607,34.0241403928571,1011.56892857143,0.791573139297037,772.0,736.617857142857,45.3642857142857,4434.35725,6.9055,112.006645,61.4223314285714,8.33981834610162,399.97342,1.09285714285714,37.5
27,4.0,122.90607,35.8519170714286,1012.40642857143,0.789970807006816,772.0,737.712857142857,47.3785714285714,4164.35725,7.0405,153.256645,64.8794742857143,12.8942794736024,399.97342,1.1,20.0
28,4.0,157.0546,137.64323,647.68,0.826283676202007,810.6,457.275,175.2,4760.35725,7.2555,114.256645,72.101329,9.29475656886456,399.97342,2.3,76.9
29,4.0,157.0546,73.87445,811.0,1.17791431983646,810.6,303.15,87.9,4760.35725,7.2555,114.256645,118.456645,9.29475656886456,399.97342,1.25,65.3
30,4.0,157.0546,113.591622222222,686.511111111111,1.10166769372817,810.6,346.166666666667,142.666666666667,4760.35725,7.2555,114.256645,72.4473977777778,9.29475656886456,399.97342,1.77777777777778,78.6
31,6.0,157.0546,69.64877,808.447,1.29061337455195,810.6,325.53,88.815,4636.23816666667,7.22033333333333,84.1710966666667,117.371645,12.2600971840552,399.97342,1.205,79.3
32,4.0,121.3276,22.1322666666667,868.586666666667,1.17577392128513,810.6,355.646666666667,34.6,4235.85725,8.1805,108.756645,139.20886,7.55238461047956,399.97342,0.266666666666667,90.0
33,4.0,121.3276,22.1322666666667,868.586666666667,1.17577392128513,810.6,355.646666666667,34.6,4235.85725,8.1805,108.756645,139.20886,7.55238461047956,399.97342,0.266666666666667,90.5
34,4.0,151.2596,22.5433666666667,866.616666666667,1.17384540799092,810.6,353.95,32.3333333333333,5384.35725,10.3055,108.256645,138.842193333333,7.31972361760292,399.97342,0.333333333333333,92.0
35,4.0,152.93481,24.42105,863.625,1.16530072805038,810.6,368.983333333333,38.8166666666667,5447.85725,9.5305,108.756645,139.225526666667,7.55238461047956,399.97342,0.316666666666667,93.2
36,4.0,152.93481,26.7098333333333,862.183333333333,1.15732853750474,810.6,378.8,43.0333333333333,5447.85725,9.5305,108.756645,139.242193333333,7.55238461047956,399.97342,0.366666666666667,94.4
37,4.0,152.93481,28.9986166666667,860.741666666667,1.14672713648827,810.6,388.616666666667,47.25,5447.85725,9.5305,108.756645,139.25886,7.55238461047956,399.97342,0.416666666666667,93.2
38,4.0,152.93481,31.2874,859.3,1.13314245070015,810.6,398.433333333333,52.6666666666667,5447.85725,9.5305,108.756645,139.275526666667,7.55238461047956,399.97342,0.466666666666667,80.5
39,4.0,122.90607,12.5121692307692,997.907692307692,0.877780638464984,810.6,665.430769230769,23.9230769230769,4654.35725,6.9055,107.756645,96.0912353846154,7.06248773046785,399.97342,0.846153846153846,48.0
40,4.0,121.3276,36.9506571428571,738.357142857143,1.28243898817756,810.6,231.371428571429,65.4285714285714,4235.85725,8.1805,108.756645,179.003797142857,7.55238461047956,399.97342,0.571428571428571,90.0
41,4.0,121.3276,11.0197317647059,1032.74352941176,0.825170516628035,810.6,714.491764705882,15.7647058823529,4235.85725,8.1805,108.756645,74.7450470588235,7.55238461047956,399.97342,0.894117647058824,90.0
42,4.0,121.3276,11.708465,1027.05666666667,0.834524355551347,810.6,704.435,16.75,4235.85725,8.1805,108.756645,71.0821716666667,7.55238461047956,399.97342,0.866666666666667,92.0
43,4.0,121.3276,14.4637714285714,1013.24571428571,0.853868085752242,810.6,680.011428571428,22.6571428571429,4235.85725,8.1805,108.756645,62.1866171428571,7.55238461047956,399.97342,0.857142857142857,80.0
44,4.0,128.2426,22.1322666666667,857.4,1.15948121240893,810.6,366.833333333333,34.6,4870.35725,7.1055,108.756645,139.20886,7.55238461047956,399.97342,0.266666666666667,85.0
45,4.0,135.9646,6.8796,1040.912,0.787305752688947,810.6,744.108,11.88,4428.85725,7.6555,108.006645,83.295948,7.19455400938082,399.97342,0.96,8.0
46,4.0,141.2506,6.8796,1044.696,0.795787916432124,810.6,740.324,11.72,5093.10725,7.8305,107.256645,83.055948,6.77360768587578,399.97342,0.96,13.0
47,4.0,146.5006,6.8796,1042.52,0.790952991088912,810.6,742.5,12.12,5255.60725,8.1055,107.256645,83.055948,6.77360768587578,399.97342,0.96,91.0
48,4.0,148.93092,6.8796,1043.08,0.79220816108462,810.6,741.94,12.28,5316.60725,9.5805,108.506645,83.455948,7.43878255508962,399.97342,0.96,94.0
49,4.0,151.2596,6.8796,1043.64,0.793455728286378,810.6,741.38,12.28,5384.35725,10.3055,108.256645,83.375948,7.31972361760292,399.97342,0.96,93.0
50,4.0,152.93481,6.8796,1044.28,0.794872326316893,810.6,740.74,12.6,5447.85725,9.5305,108.756645,83.535948,7.55238461047956,399.97342,0.96,93.0
51,4.0,158.9674,6.8796,1038.2,0.781004154834958,810.6,746.82,13.0,5578.10725,10.8305,108.506645,83.455948,7.43878255508962,399.97342,0.96,91.0
52,4.0,128.2426,35.9983272727273,691.690909090909,1.24858342354531,810.6,242.0,64.6363636363636,4870.35725,7.1055,108.756645,189.820598181818,7.55238461047956,399.97342,0.727272727272727,18.0
53,4.0,134.3606,36.9506571428571,727.6,1.26910128290255,810.6,242.128571428571,65.4285714285714,4956.10725,7.4555,107.756645,178.432368571429,7.06248773046785,399.97342,0.571428571428571,43.0
54,4.0,141.2506,35.9983272727273,703.090909090909,1.25946316272285,810.6,230.6,64.6363636363636,5093.10725,7.8305,107.256645,188.729689090909,6.77360768587578,399.97342,0.727272727272727,40.0
55,4.0,121.3276,36.9506571428571,738.357142857143,1.28243898817756,810.6,231.371428571429,65.4285714285714,4235.85725,8.1805,108.756645,179.003797142857,7.55238461047956,399.97342,0.571428571428571,70.0
56,4.0,121.3276,13.891429,1044.134,0.790273215886266,810.6,750.936,22.7,4235.85725,8.1805,108.756645,83.555948,7.55238461047956,399.97342,1.02,95.5
57,4.0,121.3276,37.19825,788.355,1.31196768484835,810.6,205.195,63.9,4235.85725,8.1805,108.756645,108.806645,7.55238461047956,399.97342,0.1,94.0
58,4.0,121.3276,30.7414,822.74,1.26197442755257,810.6,269.674285714286,51.3428571428571,4235.85725,8.1805,108.756645,121.836165714286,7.55238461047956,399.97342,0.0571428571428572,88.0
59,5.0,184.5906,29.4358284285714,1015.31,0.86709481580242,810.6,728.807142857143,43.6928571428571,6430.2858,5.9824,87.865316,52.6930457142857,7.29426913845031,399.97342,1.1,28.0
60,4.0,122.90607,34.8331599285714,1011.54071428571,0.786865234305601,772.0,738.578571428571,46.8428571428571,4434.35725,6.9055,112.006645,61.34376,8.33981834610162,399.97342,1.1,35.5
61,5.0,157.0546,65.22175,807.905,1.28678053635596,810.6,303.15,79.05,5037.4858,7.0644,94.005316,117.156645,9.93983296876049,399.97342,1.1,79.2
62,4.0,122.90607,28.3610036428571,1011.76642857143,0.817508477887223,772.0,722.892857142857,35.0142857142857,4434.35725,6.9055,112.006645,61.9723314285714,8.33981834610162,399.97342,1.04285714285714,26.0
63,4.0,121.3276,22.1322666666667,868.586666666667,1.17577392128513,810.6,355.646666666667,34.6,4235.85725,8.1805,108.756645,139.20886,7.55238461047956,399.97342,0.266666666666667,92.0
64,4.0,157.0546,6.8796,1045.4,0.797328160020562,810.6,739.62,12.6,4760.35725,7.2555,114.256645,85.295948,9.29475656886456,399.97342,0.96,88.0
65,4.0,158.9674,41.0678342857143,1003.04285714286,0.782743495081352,810.6,735.985714285714,48.5714285714286,5578.10725,10.8305,108.506645,61.7866171428571,7.43878255508962,399.97342,1.08571428571429,71.9
66,4.0,121.3276,11.0470941666667,1100.25166666667,0.673145611250067,810.6,867.025,27.7833333333333,4235.85725,8.1805,108.756645,69.5343866666667,7.55238461047956,399.97342,1.3,81.0
67,4.0,122.90607,33.7680099285714,1010.54428571429,0.783206660361291,810.6,739.575,46.1142857142857,4654.35725,6.9055,107.756645,60.9794742857143,7.06248773046785,399.97342,1.1,28.0
68,4.0,122.90607,34.8331599285714,1011.54071428571,0.786865234305601,772.0,738.578571428571,46.8428571428571,4434.35725,6.9055,112.006645,61.34376,8.33981834610162,399.97342,1.1,34.7
69,5.0,122.90607,35.3766422857143,1010.97428571429,0.814095167224861,772.0,745.644285714286,48.8857142857143,4448.8858,9.2644,94.005316,58.8009028571429,10.1253445165945,399.97342,1.11428571428571,21.0
70,5.0,122.90607,35.6457758571429,1011.46157142857,0.801048093344446,772.0,749.414142857143,49.8985714285714,4769.4858,10.0844,95.805316,60.97376,10.8442023220063,399.97342,1.13571428571429,12.0
71,5.0,122.90607,35.6442692857143,1011.46485714286,0.801068202330156,772.0,749.410857142857,49.9057142857143,4985.4858,9.6244,108.405316,61.06376,13.5378857186426,399.97342,1.13428571428571,22.0
72,5.0,122.90607,35.5615835857143,1011.51657142857,0.805863041592764,772.0,748.294857142857,49.6828571428571,5041.4858,8.1644,91.145316,60.3800457142857,8.20773673603571,399.97342,1.13142857142857,32.0
73,5.0,122.90607,35.3196565714286,1011.69785714286,0.817302395998998,772.0,744.920714285714,49.0285714285714,5122.2858,8.2844,105.405316,59.2080457142857,13.0752707679421,399.97342,1.12142857142857,30.0
74,5.0,122.90607,35.2975980357143,1011.69071428571,0.817271244135217,772.0,744.927857142857,49.0571428571429,5327.4858,8.7644,109.605316,59.3580457142857,13.7064590504971,399.97342,1.11428571428571,16.0
75,5.0,122.90607,35.2993108571429,1011.53428571429,0.816586563034102,772.0,745.084285714286,49.0785714285714,5329.0858,8.9644,107.805316,59.29376,13.4503489422866,399.97342,1.12857142857143,21.0
76,5.0,122.90607,35.6251494285714,1011.82685714286,0.803220413632827,772.0,749.048857142857,49.94,4975.4858,6.9944,113.605316,61.1009028571429,14.2154797860363,399.97342,1.14,29.0
77,5.0,124.90825,31.7212191428571,1011.39,0.824656323439607,786.5,742.82,43.8285714285714,4875.4858,6.9044,92.205316,61.5009028571429,9.11410323233802,399.97342,1.08571428571429,36.0
78,5.0,128.2426,31.6735855714286,1011.46,0.824938125244694,781.6,742.75,44.4142857142857,4949.4858,6.9444,93.005316,61.5580457142857,9.61645618511727,399.97342,1.1,35.0
79,5.0,134.3606,31.5861855714286,1011.58285714286,0.825431094573125,773.0,742.627142857143,43.9571428571429,5018.0858,7.2244,92.205316,61.5009028571429,9.11410323233802,399.97342,1.1,32.0
80,5.0,141.2506,31.487757,1012.35571428571,0.828486680620357,772.0,741.854285714286,44.0285714285714,5127.6858,7.5244,91.805316,61.4723314285714,8.81462437248867,399.97342,1.1,30.0
81,5.0,121.3276,20.4828653846154,1003.78576923077,0.925142504376225,810.6,698.295,37.1230769230769,4963.4858,9.3044,102.805316,92.6950815384615,12.0779352534017,399.97342,1.04230769230769,51.0
82,5.0,121.3276,19.8385,1003.94846153846,0.947212158040719,810.6,689.536153846154,35.3230769230769,4963.4858,9.3044,102.805316,88.9912353846154,12.0779352534017,399.97342,1.00769230769231,33.0
83,5.0,121.3276,20.9983576923077,1003.65561538462,0.90028642436368,810.6,705.302076923077,38.5630769230769,4963.4858,9.3044,102.805316,95.6581584615385,12.0779352534017,399.97342,1.07,82.0
84,5.0,121.3276,20.8694846153846,1003.68815384615,0.907619157365925,810.6,703.550307692308,38.2030769230769,4963.4858,9.3044,102.805316,94.9173892307692,12.0779352534017,399.97342,1.06307692307692,60.0
85,5.0,121.3276,20.6117384615385,1003.75323076923,0.919811199191338,810.6,700.046769230769,37.4830769230769,4963.4858,9.3044,102.805316,93.4358507692308,12.0779352534017,399.97342,1.04923076923077,54.0
86,4.0,121.3276,14.2883192307692,1003.62307692308,0.890516212329374,810.6,659.715384615385,22.6153846153846,4235.85725,8.1805,108.756645,96.3989276923077,7.55238461047956,399.97342,0.846153846153846,90.0
87,5.0,121.3276,18.6606923076923,979.461538461538,1.14897675903748,810.6,558.707692307692,32.2307692307692,3780.6858,6.8904,87.046316,96.4126523076923,3.67128458764513,399.97342,0.692307692307692,90.0
88,5.0,121.3276,18.4000769230769,999.146153846154,1.17434914185082,810.6,558.707692307692,32.8461538461538,3389.3286,7.1844,87.007096,96.3975676923077,1.96040264687623,399.9911,0.692307692307692,72.0
89,4.0,121.3276,14.2883192307692,1003.62307692308,0.890516212329374,810.6,659.715384615385,22.6153846153846,4235.85725,8.1805,108.756645,96.3989276923077,7.55238461047956,399.97342,0.846153846153846,92.0
90,4.0,121.3276,14.2883192307692,1003.62307692308,0.890516212329374,810.6,659.715384615385,22.6153846153846,4235.85725,8.1805,108.756645,96.3989276923077,7.55238461047956,399.97342,0.846153846153846,93.0
91,4.0,141.2506,12.5121692307692,1001.99230769231,0.886967967409847,810.6,661.346153846154,21.0,5093.10725,7.8305,107.256645,95.9373892307692,6.77360768587578,399.97342,0.846153846153846,94.5
92,4.0,121.3276,14.2883192307692,1003.62307692308,0.890516212329374,810.6,659.715384615385,22.6153846153846,4235.85725,8.1805,108.756645,96.3989276923077,7.55238461047956,399.97342,0.846153846153846,91.85
93,4.0,121.3276,14.2883192307692,1003.62307692308,0.890516212329374,810.6,659.715384615385,22.6153846153846,4235.85725,8.1805,108.756645,96.3989276923077,7.55238461047956,399.97342,0.846153846153846,91.95
94,4.0,121.3276,14.2883192307692,1003.62307692308,0.890516212329374,810.6,659.715384615385,22.6153846153846,4235.85725,8.1805,108.756645,96.3989276923077,7.55238461047956,399.97342,0.846153846153846,89.7
95,4.0,121.3276,14.2883192307692,1003.62307692308,0.890516212329374,810.6,659.715384615385,22.6153846153846,4235.85725,8.1805,108.756645,96.3989276923077,7.55238461047956,399.97342,0.846153846153846,89.9
96,4.0,148.93092,10.4756285714286,1022.77142857143,0.832552961778147,810.6,709.342857142857,20.0,5316.60725,9.5805,108.506645,89.44376,7.43878255508962,399.97342,0.928571428571428,85.0
97,5.0,141.2506,18.9831010714286,1024.36571428571,0.850042200886248,810.6,745.947142857143,34.6285714285714,4968.8858,8.5444,89.205316,89.1294742857143,8.14227593014743,399.97342,1.12142857142857,90.5
98,4.0,121.3276,14.2883192307692,1003.62307692308,0.890516212329374,810.6,659.715384615385,22.6153846153846,4235.85725,8.1805,108.756645,96.3989276923077,7.55238461047956,399.97342,0.846153846153846,130.0
99,4.0,121.3276,14.2883192307692,1003.62307692308,0.890516212329374,810.6,659.715384615385,22.6153846153846,4235.85725,8.1805,108.756645,96.3989276923077,7.55238461047956,399.97342,0.846153846153846,88.8
100,4.0,121.3276,14.2883192307692,1003.62307692308,0.890516212329374,810.6,659.715384615385,22.6153846153846,4235.85725,8.1805,108.756645,96.3989276923077,7.55238461047956,399.97342,0.846153846153846,85.5
101,5.0,121.3276,19.1525361290323,1020.58387096774,0.8883768177911,810.6,741.038709677419,34.4193548387097,5102.6858,11.9044,97.805316,57.9186593548387,11.192987811707,399.97342,1.0,77.3
102,4.0,134.3606,5.50633,1040.744,0.788013176825594,810.6,739.251,7.58,4956.10725,7.4555,107.756645,83.165948,7.06248773046785,399.97342,0.98,69.0
103,4.0,134.3606,6.8796,1040.368,0.786057091599127,810.6,744.652,11.32,4956.10725,7.4555,107.756645,83.215948,7.06248773046785,399.97342,0.96,84.3
104,4.0,134.3606,6.93077777777778,1161.28977777778,0.481326037351979,810.6,1001.49633333333,28.6066666666667,4956.10725,7.4555,107.756645,46.2817844444444,7.06248773046785,399.97342,1.44555555555556,86.4
105,4.0,134.3606,10.20418,1039.616,0.77891545591267,810.6,755.454,21.14,4956.10725,7.4555,107.756645,83.315948,7.06248773046785,399.97342,1.02,88.8
106,4.0,134.3606,13.08105,1039.24,0.77356640737426,810.6,760.855,26.05,4956.10725,7.4555,107.756645,83.365948,7.06248773046785,399.97342,1.05,73.6
107,4.0,134.3606,15.95792,1038.864,0.766844075977024,810.6,766.256,30.96,4956.10725,7.4555,107.756645,83.415948,7.06248773046785,399.97342,1.08,62.5
108,4.0,134.3606,8.25287,1039.992,0.783045743139243,810.6,750.053,16.23,4956.10725,7.4555,107.756645,83.265948,7.06248773046785,399.97342,0.99,93.1
109,4.0,121.3276,12.38321,1044.88666666667,0.793890287150258,810.6,746.833333333333,19.6,4235.85725,8.1805,108.756645,83.5492813333333,7.55238461047956,399.97342,1.0,92.0
110,4.0,192.981,23.5357692307692,1014.26923076923,0.94356278340364,764.1,622.592307692308,11.6923076923077,5342.85725,8.0555,110.756645,68.1681584615385,7.3865773471464,399.97342,0.769230769230769,22.0
111,4.0,192.981,48.24525,827.5,1.32946860154243,764.1,191.025,42.75,5342.85725,8.0555,110.756645,110.756645,7.3865773471464,399.97342,0.75,6.5
112,4.0,151.2596,36.9506571428571,733.442857142857,1.27660452801155,810.6,236.285714285714,65.4285714285714,5384.35725,10.3055,108.256645,178.718082857143,7.31972361760292,399.97342,0.571428571428571,85.5
113,4.0,148.93092,36.9506571428571,732.442857142857,1.27536529008949,810.6,237.285714285714,65.4285714285714,5316.60725,9.5805,108.506645,178.86094,7.43878255508962,399.97342,0.571428571428571,91.0
114,4.0,141.2506,36.9506571428571,735.328571428571,1.27889282458992,810.6,234.4,65.4285714285714,5093.10725,7.8305,107.256645,178.146654285714,6.77360768587578,399.97342,0.571428571428571,93.0
115,4.0,121.3276,14.3990813953488,1001.22403100775,0.895987109708696,810.6,654.650387596899,22.7906976744186,4235.85725,8.1805,108.756645,97.1460001550387,7.55238461047956,399.97342,0.837209302325582,95.0
116,4.0,135.9646,30.2780857142857,731.742857142857,1.28615025813946,810.6,211.607142857143,55.2857142857143,4428.85725,7.6555,108.006645,178.289511428571,7.19455400938082,399.97342,0.571428571428571,89.5
117,4.0,141.2506,31.4108,741.878571428571,1.2931221427707,810.6,211.607142857143,55.2857142857143,5093.10725,7.8305,107.256645,177.646654285714,6.77360768587578,399.97342,0.571428571428571,92.5
118,4.0,121.3276,27.1415857142857,746.421428571429,1.29588963560582,810.6,211.607142857143,55.2857142857143,4235.85725,8.1805,108.756645,178.932368571429,7.55238461047956,399.97342,0.571428571428571,90.0
119,4.0,157.0546,34.7973714285714,743.764285714286,1.29429650812478,810.6,211.607142857143,55.2857142857143,4760.35725,7.2555,114.256645,183.646654285714,9.29475656886456,399.97342,0.571428571428571,90.0
120,4.0,121.3276,14.2883192307692,1003.62307692308,0.890516212329374,810.6,659.715384615385,22.6153846153846,4235.85725,8.1805,108.756645,96.3989276923077,7.55238461047956,399.97342,0.846153846153846,91.6
121,5.0,121.3276,19.9985115384615,1003.45384615385,0.939092774024664,810.6,692.896153846154,36.0576923076923,5170.2858,9.9844,105.205316,90.45662,12.4244037881723,399.97342,1.03846153846154,63.9
122,5.0,121.3276,21.0234556207692,1002.97769230769,0.901770930984143,810.6,704.833846153846,38.4692307692308,3928.6858,8.6844,134.005316,95.7643123076923,15.0203776250529,399.97342,1.06538461538462,88.0
123,5.0,121.3276,20.9196804723077,1002.33230769231,0.909921689909172,810.6,702.613846153846,38.0153846153846,3928.6858,8.6844,134.005316,95.1296969230769,15.0203776250529,399.97342,1.05384615384615,75.0
124,4.0,122.90607,34.8331599285714,1011.54071428571,0.786865234305601,772.0,738.578571428571,46.8428571428571,4434.35725,6.9055,112.006645,61.34376,8.33981834610162,399.97342,1.1,39.3
125,5.0,122.90607,36.5011120714286,1011.50928571429,0.799005575102881,772.0,747.713571428571,51.0035714285714,5329.0858,8.9644,107.805316,60.2401885714286,13.4503489422866,399.97342,1.13571428571429,22.6
126,5.0,122.90607,36.2914927857143,1011.47785714286,0.807475612323536,772.0,745.084285714286,50.4714285714286,5329.0858,8.9644,107.805316,59.1366171428571,13.4503489422866,399.97342,1.12857142857143,4.2
127,5.0,121.3276,20.8989254426154,1002.20323076923,0.911389871959182,810.6,702.169846153846,37.9246153846154,3928.6858,8.6844,134.005316,95.0027738461539,15.0203776250529,399.97342,1.05153846153846,82.0
128,5.0,121.3276,20.8781704129231,1002.07415384615,0.912816134211011,810.6,701.725846153846,37.8338461538462,3928.6858,8.6844,134.005316,94.8758507692308,15.0203776250529,399.97342,1.04923076923077,51.0
129,5.0,121.3276,20.8574153832308,1001.94507692308,0.914203823513747,810.6,701.281846153846,37.7430769230769,3928.6858,8.6844,134.005316,94.7489276923077,15.0203776250529,399.97342,1.04692307692308,45.0
130,5.0,121.3276,20.8470378683846,1001.88053846154,0.914884104134481,810.6,701.059846153846,37.6976923076923,3928.6858,8.6844,134.005316,94.6854661538462,15.0203776250529,399.97342,1.04576923076923,45.0
131,5.0,121.3276,20.7536402347692,1001.29969230769,0.920650002571959,810.6,699.061846153846,37.2892307692308,3928.6858,8.6844,134.005316,94.1143123076923,15.0203776250529,399.97342,1.03538461538462,20.0
132,4.0,121.3276,14.2883192307692,1003.62307692308,0.890516212329374,810.6,659.715384615385,22.6153846153846,4235.85725,8.1805,108.756645,96.3989276923077,7.55238461047956,399.97342,0.846153846153846,92.4
133,4.0,121.3276,14.51157421875,998.7875,0.901525953501147,810.6,649.50625,22.96875,4235.85725,8.1805,108.756645,97.904745625,7.55238461047956,399.97342,0.828125,91.6
134,4.0,151.2596,12.5121692307692,1000.97692307692,0.884724945565356,810.6,662.361538461538,21.5384615384615,5384.35725,10.3055,108.256645,96.2450815384615,7.31972361760292,399.97342,0.846153846153846,86.0
135,5.0,136.31906,20.8913918112633,1006.90121765601,0.951292821041102,810.6,685.549315068493,37.9436834094368,3388.70378,6.656,87.041416,95.3737694063927,3.57900842013329,399.97342,1.05479452054795,92.5
136,5.0,136.31906,20.3390347774481,1014.57893175074,1.0361646779537,810.6,636.224035608309,35.6498516320475,3388.70378,6.656,87.041416,92.9727522255193,3.57900842013329,399.97342,1.00296735905045,93.6
137,5.0,136.31906,19.5461471428571,1025.6,1.11478441120966,810.6,612.592857142857,32.3571428571429,3388.70378,6.656,87.041416,89.5261828571429,3.57900842013329,399.97342,0.928571428571429,93.2
138,4.0,121.3276,12.38321,1044.88666666667,0.793890287150258,810.6,746.833333333333,19.6,4235.85725,8.1805,108.756645,83.5492813333333,7.55238461047956,399.97342,1.0,90.0
139,4.0,135.9646,12.2945236641221,1000.75648854962,0.873438508299225,810.6,669.932061068702,20.9923664122137,4428.85725,7.6555,108.006645,95.4342532824428,7.19455400938082,399.97342,0.854961832061069,94.9
